name,region,type,homepage,data_url,clicks,link_found
Monmouthshire Council,Wales,Unitary,http://www.monmouthshire.gov.uk,http://www.monmouthshire.gov.uk/Opendata,0,
North Devon District Council,South West,District,http://www.northdevon.gov.uk,http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data.htm,0,
Purbeck District Council,South West,District,http://www.purbeck.gov.uk,http://www.dorsetforyou.com/opendata,,
Rhondda Cynon Taf County Borough Council,Wales,Unitary,http://www.rhondda-cynon-taf.gov.uk,,,
Salford City Council,North West,Metropolitan Borough,http://www.salford.gov.uk,http://www.salford.gov.uk/opendata.htm,,
Shepway District Council,South East,District,http://www.shepway.gov.uk,http://www.shepway.gov.uk/content/view/201134/75/,,
Somerset County Council,South West,County,http://www.somerset.gov.uk,http://www.somerset.gov.uk/opendata,,
South Cambridgeshire,East of England,District,http://www.scambs.gov.uk,http://www.scambs.gov.uk/opendata,,
South Lanarkshire Council,Scotland,Unitary,http://www.southlanarkshire.gov.uk,,,
South Staffordshire,West Midlands,District,http://www.sstaffs.gov.uk,http://www.sstaffs.gov.uk/your_council/open_data.aspx,,
South Tyneside Metropolitan Borough Council,North East,Metropolitan Borough,http://www.southtyneside.info,,,
Stirling Council,Scotland,Unitary,http://www.stirling.gov.uk,,,
Stockton-on-Tees Borough Council,North East,Unitary,http://www.stockton.gov.uk,,,
Stratford-on-Avon,West Midlands,District,http://www.stratford.gov.uk,http://www.stratford.gov.uk/opendata,,
Stroud District Council,South West,District,http://www.stroud.gov.uk,http://www.stroud.gov.uk/opendata,1,
Sunderland City Council,North East,Metropolitan Borough,http://www.sunderland.gov.uk,http://www.sunderland.gov.uk/localpublicdata,,
Surrey County Council,South East,County,http://www.surreycc.gov.uk,http://www.surreycc.gov.uk/sccwebsite/sccwspages.nsf/LookupWebPagesByTITLE_RTF/Open+data?opendocument ,,
Surrey Heath Borough Council,South East,District,http://www.surreyheath.gov.uk,http://www.surreyheath.gov.uk/council/onlineservices/opensource.htm,,
Taunton Deane Borough Council,South West,District,http://www.tauntondeane.gov.uk,http://www.tauntondeane.gov.uk/opendata,,
Teignbridge District Council,South West,District,http://www.teignbridge.gov.uk,,,
Tewkesbury Borough Council,South West,District,http://www.tewkesburybc.gov.uk,,,
Torfaen County Borough,Wales,Unitary,http://www.torfaen.gov.uk,,,
Trafford Council,North West,Metropolitan Borough,http://www.trafford.gov.uk,http://www.trafford.gov.uk/opendata/,1,
Vale of White Horse District Council,South East,District,http://www.whitehorsedc.gov.uk,,,
Warwickshire County Council,West Midlands,County,http://www.warwickshire.gov.uk,http://opendata.warwickshire.gov.uk/,,
Waverley Borough Council,South East,District,http://www.waverley.gov.uk,,,
West Berkshire Council,South East,Unitary,http://www.westberks.gov.uk,http://www.westberks.gov.uk/index.aspx?articleid=20365,,
West Devon Borough Council,South West,District,http://www.westdevon.gov.uk,,,
West Dunbartonshire,Scotland,Unitary,http://www.west-dunbarton.gov.uk,,,
Banbridge District Council,Northern Ireland,District,http://www.banbridge.gov.uk,,,
Bath & North East Somerset Council,South West,Unitary,http://www.bathnes.gov.uk,,,
Rugby Borough Council,West Midlands,District,http://www.rugby.gov.uk,,,
Leicestershire County Council,East Midlands,County,http://www.leics.gov.uk,http://www.leics.gov.uk/index/your_council/council_publications/open_data.htm,,
London Borough of Redbridge,London,London Borough,http://www.redbridge.gov.uk,http://www.redbridge.gov.uk/opendata,,
London Borough of Sutton,London,London Borough,http://www.sutton.gov.uk,http://www.sutton.gov.uk/index.aspx?articleid=10077,,
London Borough of Waltham Forest,London,London Borough,http://www.walthamforest.gov.uk,http://www.walthamforest.gov.uk/ol/council-transparency,,
London Borough of Wandsworth,London,London Borough,http://www.wandsworth.gov.uk,http://www.wandsworth.gov.uk/opendata,,
Middlesbrough Borough Council,North East,Unitary,http://www.middlesbrough.gov.uk,www.middlesbrough.gov.uk/open-data,,
Warwick District Council,West Midlands,District,http://www.warwickdc.gov.uk,http://www.warwickdc.gov.uk/WDC/Your-Council/The-Council-Warwick-DC/Council+policies+and+plans/Open+data/,,
West Sussex County Council,South East,County,http://www.westsussex.gov.uk,http://www.westsussex.gov.uk/your_council/about_west_sussex_county/open_data_transparency.aspx,,
Weymouth & Portland Borough Council,South West,District,http://www.weymouth.gov.uk,http://www.dorsetforyou.com/opendata,,
Wigan Metropolitan Borough,North West,Metropolitan Borough,http://www.wigan.gov.uk,http://www.wigan.gov.uk/Services/CouncilDemocracy/PerformanceInformation/OpenData.htm,,
Wiltshire Council,South West,County,http://www.wiltshire.gov.uk,http://www.wiltshire.gov.uk/opendata,,
Winchester City Council,South East,District,http://www.winchester.gov.uk,http://www.winchester.gov.uk/data/,1,
Worcester City Council,West Midlands,District,http://www.worcester.gov.uk,,,
Worthing Borough Council,South East,District,http://www.worthing.gov.uk,http://www.worthing.gov.uk/your-council/opendata/,,
Wychavon District Council,West Midlands,District,http://www.wychavon.gov.uk,,,
Wyre Borough Council,North West,District,http://www.wyrebc.gov.uk,http://www.wyrebc.gov.uk/opendata,,
